,Date,Time,Simulation Utilization,Actual Utilization
0,2021/03/08,21,41.34033333333333,97.53
1,2021/03/08,22,77.92566666666666,97.38
2,2021/03/08,23,82.3725,97.06
3,2021/03/09,0,47.844166666666666,97.1
4,2021/03/09,1,47.17933333333334,97.08
5,2021/03/09,2,46.3785,96.92
6,2021/03/09,3,45.972,97.03
7,2021/03/09,4,43.804,96.22
8,2021/03/09,5,42.72,95.51
9,2021/03/09,6,42.72,95.51
10,2021/03/09,7,44.309,96.21
11,2021/03/09,8,42.10416666666666,95.5
12,2021/03/09,9,42.04266666666667,95.8
13,2021/03/09,10,87.50916666666666,96.48
14,2021/03/09,11,88.91366666666666,96.47
15,2021/03/09,12,53.7695,96.48
16,2021/03/09,13,52.46366666666666,96.76
17,2021/03/09,14,52.784,96.6
18,2021/03/09,15,51.502833333333335,96.51
19,2021/03/09,16,52.586666666666666,96.38
20,2021/03/09,17,52.4635,95.95
21,2021/03/09,18,48.3495,96.0
22,2021/03/09,19,41.21716666666666,95.92
23,2021/03/09,20,39.70166666666667,95.77
24,2021/03/09,21,78.59066666666666,93.68
25,2021/03/09,22,99.64266666666668,92.07
26,2021/03/09,23,92.71983333333333,92.08
27,2021/03/10,0,54.49633333333333,91.36
28,2021/03/10,1,84.97166666666666,92.18
29,2021/03/10,2,72.284,91.7
30,2021/03/10,3,72.284,93.23
31,2021/03/10,4,72.284,95.92
32,2021/03/10,5,71.07666666666667,95.19
33,2021/03/10,6,70.362,94.72
34,2021/03/10,7,70.584,95.12
35,2021/03/10,8,70.9535,94.76
36,2021/03/10,9,70.67016666666667,93.71
37,2021/03/10,10,66.334,94.84
38,2021/03/10,11,72.48083333333334,95.2
39,2021/03/10,12,81.95366666666666,94.88
40,2021/03/10,13,84.048,86.07
41,2021/03/10,14,94.4935,79.2
42,2021/03/10,15,96.00883333333331,77.88
43,2021/03/10,16,93.76666666666668,77.92
44,2021/03/10,17,90.12083333333332,80.43
45,2021/03/10,18,75.7825,96.47
46,2021/03/10,19,76.66933333333333,95.66
47,2021/03/10,20,78.93583333333333,95.6
48,2021/03/10,21,79.798,95.91
49,2021/03/10,22,82.816,96.43
50,2021/03/10,23,87.497,96.42
51,2021/03/11,0,80.89433333333334,96.34
52,2021/03/11,1,76.6075,95.93
53,2021/03/11,2,92.10383333333334,96.26
54,2021/03/11,3,92.42416666666666,96.5
55,2021/03/11,4,92.43633333333332,96.16
56,2021/03/11,5,91.9805,96.05
57,2021/03/11,6,90.6135,96.1
58,2021/03/11,7,88.80283333333334,94.43
59,2021/03/11,8,90.72466666666666,93.57
60,2021/03/11,9,91.057,96.29
61,2021/03/11,10,90.7985,96.54
62,2021/03/11,11,96.6125,96.17
63,2021/03/11,12,99.34716666666668,95.84
64,2021/03/11,13,97.75816666666668,95.1
65,2021/03/11,14,99.95066666666666,95.29
66,2021/03/11,15,100.0,95.91
67,2021/03/11,16,99.98766666666668,96.28
68,2021/03/11,17,99.963,96.02
69,2021/03/11,18,99.50716666666666,96.04
70,2021/03/11,19,99.35933333333332,96.27
71,2021/03/11,20,97.99216666666666,95.43
72,2021/03/11,21,99.224,95.29
73,2021/03/11,22,96.982,96.06
74,2021/03/11,23,88.98766666666667,95.77
75,2021/03/12,0,87.46016666666667,95.65
76,2021/03/12,1,94.075,95.41
77,2021/03/12,2,94.752,95.59
78,2021/03/12,3,94.33366666666666,95.05
79,2021/03/12,4,94.53066666666666,95.21
80,2021/03/12,5,94.457,95.1
81,2021/03/12,6,95.63933333333334,94.76
82,2021/03/12,7,78.50466666666667,95.34
83,2021/03/12,8,45.75,94.55
84,2021/03/12,9,40.98283333333333,94.59
85,2021/03/12,10,40.749,93.07
86,2021/03/12,11,39.86216666666667,92.26
87,2021/03/12,12,40.219166666666666,93.34
88,2021/03/12,13,41.402,93.63
89,2021/03/12,14,100.0,94.83
90,2021/03/12,15,99.44583333333333,95.24
91,2021/03/12,16,99.83966666666667,93.51
92,2021/03/12,17,99.76583333333332,91.16
93,2021/03/12,18,98.92833333333331,90.18
94,2021/03/12,19,100.0,86.4
95,2021/03/12,20,99.926,86.36
96,2021/03/12,21,99.889,86.5
97,2021/03/12,22,99.5195,87.01
98,2021/03/12,23,98.09083333333332,83.12
99,2021/03/13,0,90.478,81.17
100,2021/03/13,1,90.34233333333331,79.08
101,2021/03/13,2,99.7785,72.98
102,2021/03/13,3,99.91383333333332,72.23
103,2021/03/13,4,99.91366666666666,71.68
104,2021/03/13,5,100.0,70.19
105,2021/03/13,6,99.67966666666666,70.19
106,2021/03/13,7,98.47216666666668,69.52
107,2021/03/13,8,99.101,68.86
108,2021/03/13,9,99.963,68.2
109,2021/03/13,10,99.815,66.25
110,2021/03/13,11,99.17483333333332,66.79
111,2021/03/13,12,99.13766666666668,71.86
112,2021/03/13,13,99.06366666666668,70.34
113,2021/03/13,14,99.76583333333332,67.36
114,2021/03/13,15,99.97533333333332,68.95
115,2021/03/13,16,99.97533333333332,73.75
116,2021/03/13,17,99.926,72.05
117,2021/03/13,18,99.421,44.65
118,2021/03/13,19,99.13766666666668,96.13
119,2021/03/13,20,99.95066666666666,96.48
120,2021/03/13,21,99.889,95.95
121,2021/03/13,22,99.4825,81.56
122,2021/03/13,23,99.889,74.13
123,2021/03/14,0,99.86433333333332,71.11
124,2021/03/14,1,98.0415,64.91
125,2021/03/14,2,88.741,63.63
126,2021/03/14,3,95.097,63.22
127,2021/03/14,4,98.67,63.22
128,2021/03/14,5,100.0,61.94
129,2021/03/14,6,96.04583333333332,60.11
130,2021/03/14,7,87.73116666666665,59.35
131,2021/03/14,8,89.283,58.07
132,2021/03/14,9,89.19666666666666,57.88
133,2021/03/14,10,69.14266666666667,57.54
134,2021/03/14,11,64.22783333333332,56.31
135,2021/03/14,12,61.0495,55.29
136,2021/03/14,13,59.67,54.66
137,2021/03/14,14,92.86766666666666,54.45
138,2021/03/14,15,100.0,52.59
139,2021/03/14,16,99.926,51.16
140,2021/03/14,17,99.77816666666666,49.71
141,2021/03/14,18,99.52,50.06
142,2021/03/14,19,99.51966666666668,49.76
143,2021/03/14,20,86.79483333333333,48.67
144,2021/03/14,21,60.66766666666667,48.34
145,2021/03/14,22,69.13033333333334,15.01
146,2021/03/14,23,79.182,0.42
147,2021/03/15,0,83.00066666666667,0.0
148,2021/03/15,1,81.68283333333333,0.0
149,2021/03/15,2,75.363,0.0
150,2021/03/15,3,62.712500000000006,0.0
151,2021/03/15,4,57.95766666666666,0.0
152,2021/03/15,5,63.4395,0.0
153,2021/03/15,6,85.95733333333334,0.0
154,2021/03/15,7,84.627,0.0
155,2021/03/15,8,87.06566666666667,0.0
156,2021/03/15,9,78.911,0.0
157,2021/03/15,10,81.14083333333333,
158,2021/03/15,11,83.57966666666667,0.0
159,2021/03/15,12,84.97183333333334,9.42
160,2021/03/15,13,92.16566666666668,96.1
161,2021/03/15,14,88.37166666666667,95.79
162,2021/03/15,15,88.27300000000001,95.81
163,2021/03/15,16,85.39033333333333,96.28
164,2021/03/15,17,85.77233333333334,96.61
165,2021/03/15,18,81.646,96.7
166,2021/03/15,19,78.6525,96.7
167,2021/03/15,20,77.38366666666667,96.68
168,2021/03/15,21,73.41716666666666,96.63
169,2021/03/15,22,69.43849999999999,96.63
170,2021/03/15,23,68.10783333333333,96.63
171,2021/03/16,0,65.31166666666667,96.64
172,2021/03/16,1,64.64633333333333,96.69
173,2021/03/16,2,64.42433333333334,96.56
174,2021/03/16,3,60.729000000000006,96.21
175,2021/03/16,4,56.467000000000006,87.38
176,2021/03/16,5,76.70616666666666,84.83
177,2021/03/16,6,100.0,82.1
178,2021/03/16,7,100.0,80.72
179,2021/03/16,8,100.0,76.61
180,2021/03/16,9,100.0,81.73
181,2021/03/16,10,100.0,84.29
182,2021/03/16,11,99.95066666666666,83.77
183,2021/03/16,12,99.95066666666666,80.9
184,2021/03/16,13,99.7535,76.39
185,2021/03/16,14,99.76583333333332,72.43
186,2021/03/16,15,100.0,72.01
187,2021/03/16,16,100.0,57.81
188,2021/03/16,17,100.0,66.8
189,2021/03/16,18,99.95066666666666,47.49
190,2021/03/16,19,99.926,46.33
191,2021/03/16,20,100.0,44.31
192,2021/03/16,21,99.98766666666668,44.31
193,2021/03/16,22,100.0,44.04
194,2021/03/16,23,99.98766666666668,40.41
195,2021/03/17,0,100.0,40.78
196,2021/03/17,1,99.926,96.86
197,2021/03/17,2,100.0,97.2
198,2021/03/17,3,99.98766666666668,97.17
199,2021/03/17,4,99.77833333333336,97.23
200,2021/03/17,5,100.0,97.32
201,2021/03/17,6,98.1645,97.54
202,2021/03/17,7,94.30866666666668,98.34
203,2021/03/17,8,83.86283333333333,97.35
204,2021/03/17,9,80.51233333333333,96.09
205,2021/03/17,10,79.02183333333333,96.97
206,2021/03/17,11,80.42633333333333,96.83
207,2021/03/17,12,82.42166666666667,95.12
208,2021/03/17,13,81.96616666666667,89.79
209,2021/03/17,14,78.45533333333333,90.3
210,2021/03/17,15,96.132,89.4
211,2021/03/17,16,99.75333333333332,89.53
212,2021/03/17,17,99.69183333333332,92.74
213,2021/03/17,18,99.60583333333334,95.47
214,2021/03/17,19,98.3,93.28
215,2021/03/17,20,96.45233333333334,91.32
216,2021/03/17,21,96.84633333333332,92.06
217,2021/03/17,22,94.69083333333332,91.16
218,2021/03/17,23,95.28183333333334,91.93
219,2021/03/18,0,91.4015,92.19
220,2021/03/18,1,91.67266666666666,92.34
221,2021/03/18,2,88.766,93.54
222,2021/03/18,3,93.75466666666668,88.78
223,2021/03/18,4,99.63033333333334,86.98
224,2021/03/18,5,100.0,86.08
225,2021/03/18,6,94.8755,90.84
226,2021/03/18,7,98.411,95.26
227,2021/03/18,8,99.03933333333332,93.26
228,2021/03/18,9,99.66733333333332,88.81
229,2021/03/18,10,99.47033333333331,88.69
230,2021/03/18,11,100.0,87.51
231,2021/03/18,12,100.0,84.21
232,2021/03/18,13,100.0,96.21
233,2021/03/18,14,100.0,95.72
234,2021/03/18,15,96.80966666666666,95.3
235,2021/03/18,16,88.6425,95.66
236,2021/03/18,17,88.14966666666668,96.24
237,2021/03/18,18,90.2195,93.84
238,2021/03/18,19,92.9045,94.71
239,2021/03/18,20,90.31766666666664,95.96
240,2021/03/18,21,92.78133333333334,95.37
241,2021/03/18,22,93.43416666666668,94.9
242,2021/03/18,23,91.71,91.45
243,2021/03/19,0,91.38966666666666,92.16
244,2021/03/19,1,91.14333333333332,93.78
245,2021/03/19,2,89.84966666666666,93.84
246,2021/03/19,3,82.18783333333333,91.93
247,2021/03/19,4,74.0575,90.04
248,2021/03/19,5,72.60416666666667,87.54
249,2021/03/19,6,70.14066666666666,90.71
250,2021/03/19,7,56.072833333333335,93.37
251,2021/03/19,8,57.563500000000005,91.53
252,2021/03/19,9,58.512,92.13
253,2021/03/19,10,60.014833333333335,89.81
254,2021/03/19,11,62.84783333333333,89.26
255,2021/03/19,12,63.4765,89.07
256,2021/03/19,13,70.54716666666667,87.91
257,2021/03/19,14,71.92666666666666,85.55
258,2021/03/19,15,68.57633333333332,84.22
259,2021/03/19,16,89.59133333333334,83.27
260,2021/03/19,17,94.83866666666668,83.44
261,2021/03/19,18,91.61116666666668,65.85
262,2021/03/19,19,86.68383333333334,77.49
263,2021/03/19,20,86.031,95.32
264,2021/03/19,21,86.00633333333333,95.22
265,2021/03/19,22,86.69616666666667,95.11
266,2021/03/19,23,92.32566666666666,94.93
267,2021/03/20,0,90.74883333333334,94.91
268,2021/03/20,1,88.02683333333334,95.35
269,2021/03/20,2,88.58083333333333,94.93
270,2021/03/20,3,88.71633333333334,94.87
271,2021/03/20,4,87.22633333333333,95.36
272,2021/03/20,5,86.807,95.6
273,2021/03/20,6,87.06599999999999,95.34
274,2021/03/20,7,89.24616666666667,95.3
275,2021/03/20,8,90.2685,95.38
276,2021/03/20,9,90.28083333333332,95.01
277,2021/03/20,10,90.8105,95.28
278,2021/03/20,11,93.422,95.09
279,2021/03/20,12,96.96966666666668,94.98
280,2021/03/20,13,96.5755,95.42
281,2021/03/20,14,94.41966666666669,95.43
282,2021/03/20,15,89.591,95.58
283,2021/03/20,16,78.98483333333333,95.22
284,2021/03/20,17,79.93366666666667,95.4
285,2021/03/20,18,83.69066666666667,95.28
286,2021/03/20,19,82.71733333333333,95.01
287,2021/03/20,20,81.23933333333333,94.56
288,2021/03/20,21,79.51483333333333,95.07
289,2021/03/20,22,76.74283333333334,94.92
290,2021/03/20,23,77.06333333333333,94.76
291,2021/03/21,0,77.14983333333333,94.47
292,2021/03/21,1,76.82916666666667,96.08
293,2021/03/21,2,77.3835,96.11
294,2021/03/21,3,76.84133333333334,96.23
295,2021/03/21,4,73.5525,96.14
296,2021/03/21,5,69.36433333333333,96.43
297,2021/03/21,6,66.925,96.19
298,2021/03/21,7,68.61266666666667,96.29
299,2021/03/21,8,68.74849999999999,95.87
300,2021/03/21,9,70.079,95.89
301,2021/03/21,10,74.67333333333333,96.19
302,2021/03/21,11,76.31183333333333,95.73
303,2021/03/21,12,79.47783333333334,70.78
304,2021/03/21,13,81.153,64.42
305,2021/03/21,14,82.93900000000001,62.56
306,2021/03/21,15,78.024,96.24
307,2021/03/21,16,92.97833333333334,96.26
308,2021/03/21,17,92.63366666666668,72.84
309,2021/03/21,18,90.601,95.85
310,2021/03/21,19,98.22616666666666,95.06
311,2021/03/21,20,99.47033333333331,94.11
312,2021/03/21,21,99.187,93.75
313,2021/03/21,22,99.76583333333332,74.09
314,2021/03/21,23,99.29783333333334,51.99
315,2021/03/22,0,97.315,47.38
316,2021/03/22,1,99.4085,44.96
317,2021/03/22,2,99.79033333333332,41.58
318,2021/03/22,3,99.3965,41.93
319,2021/03/22,4,98.448,42.22
320,2021/03/22,5,97.37633333333332,40.22
321,2021/03/22,6,87.57100000000001,38.63
322,2021/03/22,7,81.69533333333332,65.94
323,2021/03/22,8,81.73183333333334,96.28
324,2021/03/22,9,84.81166666666667,96.47
325,2021/03/22,10,86.75783333333334,96.58
326,2021/03/22,11,92.30083333333332,95.72
327,2021/03/22,12,96.72333333333334,95.56
328,2021/03/22,13,97.74566666666668,95.54
329,2021/03/22,14,94.2595,95.58
330,2021/03/22,15,88.97483333333334,95.55
331,2021/03/22,16,98.16433333333332,95.4
332,2021/03/22,17,98.50933333333334,95.38
333,2021/03/22,18,99.15,95.41
334,2021/03/22,19,98.374,95.4
335,2021/03/22,20,97.68433333333331,95.33
336,2021/03/22,21,99.72866666666664,95.22
